epoch,acc,loss,val_acc,val_loss
0,0.5831441543023784,0.9028630809940896,0.7029096480228878,0.7344678936411131
1,0.7156640181882428,0.6882292057680353,0.7488514550064461,0.6288009899316119
2,0.7622587969571047,0.5926935722689893,0.7651863197941997,0.5827159821196075
3,0.7886492623238234,0.5309045240096959,0.7590607455520376,0.5746349912172924
4,0.8101021565589948,0.4817394191777666,0.7748851455736672,0.5385629511293311
5,0.8275822929572842,0.4329005721478673,0.7759060746799507,0.5490774563254599
6,0.84682179351129,0.39263393404670527,0.7789688618162446,0.5366585202792763
7,0.8631101020483911,0.36026176630300505,0.7805002554148177,0.5539961867547875
8,0.8669125992107066,0.33978603472774604,0.7708014293919417,0.564855237984426
9,0.881952326941842,0.3099804295787205,0.7743746811422296,0.61766557090437
