epoch,acc,loss,val_acc,val_loss
0,0.586322360953462,0.9080780825062859,0.6421643654687968,0.8023792895022066
1,0.6913734395035821,0.7258140619713115,0.7120980060544776,0.6551764812805386
2,0.7284335980485707,0.6456038224440022,0.6794282803126536,0.7572277369031862
3,0.7452894435973497,0.6052260424032655,0.7646758502511847,0.5688874808849882
4,0.7673666286549693,0.5580148844930019,0.7799897898576161,0.5362261502094083
5,0.7860953458456934,0.5283821824527897,0.7835630396606363,0.520329209616015
6,0.798694665153235,0.491195067428433,0.7805002601612825,0.5262518680144355
7,0.815550510485516,0.4600894145540699,0.7993874443374525,0.48792897497226295
8,0.8290578890469233,0.43057502619795307,0.8126595155994402,0.46027354483034855
9,0.8418274685419106,0.4022893922621221,0.7830525809188714,0.508789959992603
10,0.8534619748660033,0.3794401336879925,0.8269525267081093,0.44420499571006233
11,0.8622587966188264,0.3536843518867125,0.8060234852017281,0.4584738310196377
12,0.8779795688343373,0.3254886792006476,0.8366513463110873,0.41982507924756085
13,0.8790011354120582,0.31586129432639254,0.8371618223957045,0.41488779983148094
14,0.8985244039780166,0.2778698812616264,0.8305257809837598,0.4338411167758408
15,0.9037457436762928,0.26461789528168017,0.7519142461285535,0.626776532867601
16,0.9102724178559934,0.2481494268480684,0.7713118922107983,0.606266619752657
