epoch,acc,loss,val_acc,val_loss
0,0.6408466690109693,0.952261539664229,0.8119570752401162,0.8054465852224773
1,0.8589263418762303,0.6596945227917498,0.8298415912616965,0.6025542205977208
2,0.8896266033397523,0.4666256280041975,0.8421052590461794,0.48341806430139284
3,0.9135171946257796,0.3442976806609182,0.8538579467491769,0.41308498486122674
4,0.9313925772435196,0.26386308736000735,0.8594787905395305,0.37298162329483225
5,0.94330949914427,0.208779001174064,0.8599897784180464,0.35220823298014725
6,0.9533537625116464,0.16777938174620996,0.861011754175078,0.344099254649576
7,0.9612983767716518,0.1373268762361772,0.8656106333557172,0.339118929757838
8,0.968108046631201,0.11333920660864927,0.8615227387033072,0.3423311758479965
9,0.9747474749165947,0.09438325388706065,0.8630556911915374,0.3479982565176627
10,0.9769038703314171,0.08243995063888838,0.8584568153611848,0.3621399106574899
