epoch,acc,loss,val_acc,val_loss
0,0.5020713917405778,0.9845304088738387,0.6332992853499774,0.8021120387029599
1,0.669088020280598,0.7647000921279264,0.7410623093912867,0.7113423555693661
2,0.7261222408196826,0.6602126222471056,0.7262512748648124,0.630672117297569
3,0.7552919811419316,0.5991896209032972,0.7620020409526572,0.592621408577959
4,0.7830429599589694,0.5377350121991912,0.7482124626088557,0.6008078700675419
5,0.810226434422205,0.47914923154416794,0.7732379982006319,0.5538649344103329
6,0.8277623292218745,0.4376164654514101,0.7160367746518752,0.647346080993364
7,0.8502355141081176,0.3827742872038045,0.7870275772141485,0.5369685118118029
8,0.8648203848256784,0.34952365789725465,0.7512768117960189,0.6424639707809815
9,0.8788377503302587,0.31354984553635146,0.6777323798578047,0.8308568526215402
10,0.8907553490529733,0.2843035136903769,0.7819203249158849,0.5594049385302644
