epoch,acc,loss,val_acc,val_loss
0,0.5291146421676055,0.9812959731234053,0.6554364514569959,0.8175746861801517
1,0.6453461976652113,0.8080100173441425,0.6952526818251598,0.7313622458970565
2,0.6675936438439247,0.7631365591632657,0.6962736063979608,0.6998219880721835
3,0.6799659480436977,0.7417054192161993,0.7095456847492196,0.6832656317854974
4,0.6887627699318322,0.7268178429154343,0.7110770854066378,0.6764034738097646
5,0.693984109183581,0.7101880229561337,0.7371107755174681,0.6311837553126036
6,0.699716231243835,0.6979273176761545,0.7381317045628994,0.6279525829249952
7,0.7053348467650398,0.6881527357150152,0.7386421677772946,0.6274790141946385
8,0.7154370033916903,0.677652459355678,0.7141398641453403,0.6802005683846349
9,0.71140749152754,0.6739868405322618,0.7585502791429065,0.5939835592944626
10,0.7154370034864082,0.6581535263851742,0.7396630915894442,0.6298581869885774
11,0.7221906923814745,0.6533026931910997,0.7646758586487763,0.5866735267541797
12,0.7276390467680542,0.6460025447857366,0.7432363413924645,0.615931214971041
13,0.7303632239613441,0.6373270810394633,0.7636549256783837,0.5720478705206107
14,0.7359818387248054,0.6290029327255102,0.7600816753276943,0.6005692065766175
15,0.7364358681961302,0.6225150794907136,0.7462991382346705,0.5982933566848985
16,0.7423950056347755,0.6120086788860541,0.7748851491030897,0.5599185709079472
17,0.7473893305770926,0.6042862889038718,0.7759060742235597,0.5511195470083119
18,0.752156640005707,0.5914173822532853,0.7805002517636909,0.5437388469090931
19,0.7531782064075232,0.5899457099489132,0.7733537516099814,0.5497059673603364
20,0.7590238368605918,0.5786981631759618,0.778968855578903,0.5509555012733125
21,0.7627695797520788,0.5752048121813883,0.7677386476410597,0.5539549914107389
